,ListingID,Property_Type,Region,Locality,Price,FloorSize,SizeType,Bedrooms,Bathrooms,Furnishing,Property_Condition,Developer,Society,Longitude,Latitude,Price_PSQFT,URL
169,1591,Apartment,Chennai South,Kovilambakkam,4500000,750.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,6000.0,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Kovilambakkam-in-Chennai&id=4d423438313333313137
170,24,Apartment,Chennai South,Sembakkam,3527412,588.0,super area,1.0,1.0,Unfurnished,New Property,Akila Heights LLP,Akila Heights,12.923305000000001,80.1585743,5999.0,https://www.magicbricks.com/propertyDetails/1-BHK-588-Sq-ft-Multistorey-Apartment-FOR-Sale-Sembakkam-in-Chennai&id=4d423437383530333439
171,2255,Apartment,Chennai South,Sembakkam,6946842,1158.0,super area,2.0,2.0,Unfurnished,New Property,Akila Heights LLP,Akila Heights,12.923305000000001,80.1585743,5999.0,https://www.magicbricks.com/propertyDetails/2-BHK-1158-Sq-ft-Multistorey-Apartment-FOR-Sale-Sembakkam-in-Chennai&id=4d423437383530333635
172,1018,Apartment,Chennai South,Sholinganallur,7080000,1183.0,super area,2.0,2.0,Unfurnished,Resale,Adroit Urban Developers Pvt. Ltd.,Adroit Fortune,12.909317,80.23173100000001,5984.784446,https://www.magicbricks.com/propertyDetails/2-BHK-1183-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423436373638303035
173,1629,Builder Floor Apartment,Chennai South,Medavakkam,7000000,1170.0,super area,2.0,2.0,Unfurnished,Resale,,,0.0,0.0,5982.905983,https://www.magicbricks.com/propertyDetails/2-BHK-1170-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Vengaivasal-in-Chennai&id=4d423438343530393439
174,876,Apartment,Chennai South,Pallikaranai,7500000,1254.0,super area,2.0,2.0,Furnished,Resale,Puravankara Ltd.,Purva Windermere,12.930341,80.196754,5980.861244,https://www.magicbricks.com/propertyDetails/2-BHK-1254-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423438373234313931
175,1750,Apartment,Chennai South,Pallikaranai,7500000,1255.0,super area,2.0,2.0,Semi-Furnished,Resale,Puravankara Ltd.,Purva Windermere,12.930341,80.196754,5976.095618,https://www.magicbricks.com/propertyDetails/2-BHK-1255-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423433373333353433
176,688,Apartment,Chennai South,Sholinganallur,6500000,1088.0,super area,2.0,2.0,Unfurnished,Resale,Brownstone Foundations Pvt. Ltd.,Classic Coral,12.89745998,80.21910095,5974.264706,https://www.magicbricks.com/propertyDetails/2-BHK-1088-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423433373831343537
177,1994,Apartment,Chennai South,Medavakkam,5500000,925.0,super area,2.0,2.0,Unfurnished,Resale,Sree Aishwaryam Homes,Aishwaryam Majestica,12.92707397,80.19389157,5945.945946,https://www.magicbricks.com/propertyDetails/2-BHK-925-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423437313632323631
178,1451,Apartment,Chennai South,Nanmangalam,6500000,1096.0,super area,2.0,2.0,Unfurnished,Resale,,,0.0,0.0,5930.656934000001,https://www.magicbricks.com/propertyDetails/2-BHK-1096-Sq-ft-Multistorey-Apartment-FOR-Sale-Nanmangalam-in-Chennai&id=4d423437313634373733
